model_a,model_b,gap_mean,gap_ci_lo,gap_ci_hi,gap_sig,n_fields
Qwen/Qwen2.5-3B,bert-base-multilingual-cased,1.3467625801761947,0.4896548211574556,2.289654577771823,True,8
Qwen/Qwen2.5-3B,xlm-roberta-large,1.5380373453317835,0.5636800368626906,2.6765538566883964,True,8
Qwen/Qwen2.5-1.5B,bert-base-multilingual-cased,1.1806506957610445,0.2555389808913074,2.1672681995357075,True,8
Qwen/Qwen2.5-1.5B,xlm-roberta-large,1.3719254609166334,0.3744067565600073,2.5418579305211697,True,8
hfl/chinese-bert-wwm-ext,bert-base-multilingual-cased,1.1396296520655351,0.520028800750151,1.7947631794710956,True,8
hfl/chinese-bert-wwm-ext,xlm-roberta-large,1.330904417221124,0.7199625105992895,1.8961745951926183,True,8
Qwen/Qwen2.5-3B,Qwen/Qwen2.5-1.5B,0.16611188441515,-0.05031163216878981,0.4053436702887219,False,8
