Model,Cos_Intra,Cos_Inter,Cos_Diff,Cos_p,Cos_p_holm,Cos_d,Cos_CI_lo,Cos_CI_hi,Euc_Intra,Euc_Inter,Euc_Diff,Euc_p,Euc_p_holm,Euc_d,Euc_CI_lo,Euc_CI_hi,Perm_p_cos,Perm_p_euc,Size_rho,Size_p,Freq_rho,Freq_p
mBERT,0.5515,0.5353,0.0163,1.6541874e-08,6.616749459453786e-08,0.1371,0.0106,0.0217,0.1074,0.0999,0.0075,0.018141096,0.018141096457839012,0.0573,0.0017,0.0135,0.000999000999000999,0.008991008991008992,0.1972,0.107,0.3318,0.0057
Chinese-BERT,0.8572,0.8502,0.007,0.00025111536,0.0005022307159379125,0.0888,0.0033,0.0106,0.1377,0.1325,0.0052,2.3722228e-06,7.116668257367564e-06,0.1145,0.003,0.0073,0.001998001998001998,0.000999000999000999,0.3116,0.0097,0.3398,0.0046
