model,model_id,language,n_chars,n_intra,n_inter,intra_mean,inter_mean,delta,cohens_d,p_perm
JP-BERT-char,cl-tohoku/bert-base-japanese-char-v3,ja,1687,2891,3300,0.050306711345911026,0.008408818393945694,0.04189789295196533,0.3837370155379751,0.000999000999000999
mBERT,bert-base-multilingual-cased,zh-on-kanji-subset,1687,2891,3300,0.054028622806072235,0.017863333225250244,0.03616528958082199,0.29063027159045823,0.000999000999000999
Chinese-BERT,hfl/chinese-bert-wwm-ext,zh-on-kanji-subset,1687,2891,3300,0.05103292688727379,0.007060213014483452,0.043972715735435486,0.40459808151717847,0.000999000999000999
XLM-R-base,xlm-roberta-base,zh-on-kanji-subset,1687,2891,3300,0.0328664667904377,0.011967096477746964,0.020899370312690735,0.1692505229987014,0.000999000999000999
