model,src_radical,tgt_radical,n_src_chars,top10_target_rate,baseline_rate,lift
xlm-roberta-base,1,9,30,0.07333333333333333,0.040279099270535995,1.8206299212598427
xlm-roberta-base,1,10,30,0.023333333333333334,0.003330161750713606,7.006666666666667
xlm-roberta-base,1,15,30,0.02,0.004123057405645417,4.850769230769231
xlm-roberta-base,1,18,30,0.04,0.011100539169045354,3.6034285714285716
xlm-roberta-base,1,19,30,0.03,0.00650174437044085,4.614146341463415
xlm-roberta-base,1,27,30,0.02,0.003330161750713606,6.005714285714285
xlm-roberta-base,1,30,30,0.19333333333333333,0.05629559150015858,3.4342535211267604
xlm-roberta-base,1,31,30,0.02666666666666667,0.005867427846495401,4.5448648648648655
xlm-roberta-base,1,32,30,0.07333333333333333,0.021249603552172536,3.4510447761194025
xlm-roberta-base,1,37,30,0.016666666666666666,0.005867427846495401,2.8405405405405406
xlm-roberta-base,1,38,30,0.13,0.02156676181414526,6.027794117647059
xlm-roberta-base,1,39,30,0.03333333333333333,0.0045987947986045035,7.248275862068966
xlm-roberta-base,1,40,30,0.03666666666666667,0.010466222645099905,3.5033333333333334
xlm-roberta-base,1,44,30,0.043333333333333335,0.00507453219156359,8.539375
xlm-roberta-base,1,46,30,0.05333333333333334,0.012686330478908976,4.204
xlm-roberta-base,1,50,30,0.02666666666666667,0.006977481763399937,3.821818181818182
xlm-roberta-base,1,53,30,0.04666666666666667,0.0074532191563590235,6.261276595744681
xlm-roberta-base,1,57,30,0.016666666666666666,0.004123057405645417,4.042307692307692
xlm-roberta-base,1,60,30,0.02,0.006184586108468126,3.233846153846154
xlm-roberta-base,1,61,30,0.06666666666666667,0.03330161750713606,2.001904761904762
xlm-roberta-base,1,62,30,0.05333333333333334,0.003805899143672693,14.013333333333334
xlm-roberta-base,1,64,30,0.12333333333333334,0.05090390104662226,2.4228660436137073
xlm-roberta-base,1,66,30,0.02,0.005391690453536315,3.7094117647058824
xlm-roberta-base,1,72,30,0.04666666666666667,0.01569933396764986,2.9725252525252523
xlm-roberta-base,1,75,30,0.05,0.047573739295908656,1.0510000000000002
xlm-roberta-base,1,76,30,0.02,0.003171582619727244,6.306
xlm-roberta-base,1,78,30,0.01,0.003171582619727244,3.153
xlm-roberta-base,1,85,30,0.14333333333333334,0.06454170631144941,2.220786240786241
xlm-roberta-base,1,86,30,0.07333333333333333,0.021408182683158895,3.425481481481482
xlm-roberta-base,1,93,30,0.03,0.003805899143672693,7.882499999999999
xlm-roberta-base,1,94,30,0.04,0.010466222645099905,3.821818181818182
xlm-roberta-base,1,96,30,0.04,0.01665080875356803,2.402285714285714
xlm-roberta-base,1,102,30,0.01,0.005550269584522677,1.8017142857142858
xlm-roberta-base,1,104,30,0.07333333333333333,0.013954963526799874,5.255
xlm-roberta-base,1,108,30,0.006666666666666667,0.004123057405645417,1.6169230769230771
xlm-roberta-base,1,109,30,0.02,0.012210593085949888,1.637922077922078
xlm-roberta-base,1,112,30,0.03333333333333333,0.013320647002854425,2.5023809523809524
xlm-roberta-base,1,113,30,0.023333333333333334,0.007136060894386299,3.2697777777777777
xlm-roberta-base,1,115,30,0.03,0.009039010466222646,3.3189473684210524
xlm-roberta-base,1,116,30,0.02666666666666667,0.005550269584522677,4.804571428571429
xlm-roberta-base,1,118,30,0.043333333333333335,0.01585791309863622,2.7326
xlm-roberta-base,1,119,30,0.02666666666666667,0.006660323501427212,4.003809523809524
xlm-roberta-base,1,120,30,0.06333333333333334,0.03679035838883603,1.7214655172413795
xlm-roberta-base,1,124,30,0.016666666666666666,0.0034887408816999684,4.777272727272727
xlm-roberta-base,1,128,30,0.013333333333333334,0.004440215667618141,3.002857142857143
xlm-roberta-base,1,130,30,0.05333333333333334,0.022042499207104344,2.419568345323741
xlm-roberta-base,1,140,30,0.08333333333333333,0.04773231842689502,1.745847176079734
xlm-roberta-base,1,142,30,0.08333333333333333,0.018395179194418014,4.530172413793103
xlm-roberta-base,1,145,30,0.07333333333333333,0.01157627656200444,6.334794520547946
xlm-roberta-base,1,147,30,0.016666666666666666,0.0036473200126863306,4.569565217391304
xlm-roberta-base,1,149,30,0.07,0.03853472882968601,1.8165432098765435
xlm-roberta-base,1,154,30,0.06,0.017443704408499842,3.4396363636363634
xlm-roberta-base,1,157,30,0.04666666666666667,0.012210593085949888,3.8218181818181822
xlm-roberta-base,1,159,30,0.04,0.010624801776086268,3.7647761194029847
xlm-roberta-base,1,162,30,0.05,0.019029495718363463,2.6275000000000004
xlm-roberta-base,1,163,30,0.03,0.008563273073263558,3.5033333333333334
xlm-roberta-base,1,164,30,0.03,0.007294640025372661,4.112608695652174
xlm-roberta-base,1,167,30,0.11333333333333333,0.03758325404376784,3.0155274261603373
xlm-roberta-base,1,169,30,0.02666666666666667,0.010624801776086268,2.509850746268657
xlm-roberta-base,1,170,30,0.03333333333333333,0.010624801776086268,3.1373134328358208
xlm-roberta-base,1,172,30,0.03333333333333333,0.004123057405645417,8.084615384615384
xlm-roberta-base,1,173,30,0.043333333333333335,0.0060260069774817635,7.191052631578947
xlm-roberta-base,1,181,30,0.05,0.012210593085949888,4.094805194805195
xlm-roberta-base,1,184,30,0.043333333333333335,0.010466222645099905,4.140303030303031
xlm-roberta-base,1,187,30,0.023333333333333334,0.012052013954963527,1.9360526315789475
xlm-roberta-base,1,195,30,0.056666666666666664,0.008721852204249921,6.497090909090908
xlm-roberta-base,1,196,30,0.043333333333333335,0.010466222645099905,4.140303030303031
xlm-roberta-base,9,1,30,0.03666666666666667,0.004915953060577228,7.458709677419355
xlm-roberta-base,9,10,30,0.01,0.003330161750713606,3.0028571428571427
xlm-roberta-base,9,15,30,0.0033333333333333335,0.004123057405645417,0.8084615384615386
xlm-roberta-base,9,18,30,0.006666666666666667,0.011100539169045354,0.6005714285714286
xlm-roberta-base,9,19,30,0.013333333333333334,0.00650174437044085,2.050731707317073
xlm-roberta-base,9,27,30,0.0,0.003330161750713606,0.0
xlm-roberta-base,9,30,30,0.12,0.05629559150015858,2.131605633802817
xlm-roberta-base,9,31,30,0.006666666666666667,0.005867427846495401,1.1362162162162164
xlm-roberta-base,9,32,30,0.02,0.021249603552172536,0.9411940298507462
xlm-roberta-base,9,37,30,0.006666666666666667,0.005867427846495401,1.1362162162162164
xlm-roberta-base,9,38,30,0.03333333333333333,0.02156676181414526,1.5455882352941177
xlm-roberta-base,9,39,30,0.006666666666666667,0.0045987947986045035,1.4496551724137932
xlm-roberta-base,9,40,30,0.01,0.010466222645099905,0.9554545454545454
xlm-roberta-base,9,44,30,0.023333333333333334,0.00507453219156359,4.5981250000000005
