model,layer,d_unmatched,d_matched,freq_inflation,ci_matched_lo,ci_matched_hi,n_intra,n_inter_unmatched,n_inter_matched
Qwen/Qwen2.5-1.5B,28,0.7048182412113433,0.6844232144897909,0.020395026721552356,0.06420543249696493,0.07755224108695984,2040,2040,2040
xlm-roberta-base,12,0.15767436004396682,0.1530697832798182,0.004604576764148605,0.012427612184546888,0.029122275300323963,2040,2040,2040
bert-base-multilingual-cased,12,0.20664925670124562,0.18990471644521462,0.016744540256031004,0.025005016755312682,0.04955542590469122,2040,2040,2040
cl-tohoku/bert-base-japanese-char-v3,12,0.04398930469321952,0.010565311240668158,0.033423993452551364,-0.01897474955767393,0.025458981469273567,2040,2040,2040
BAAI/bge-large-zh-v1.5,24,0.5596807049375436,0.589022830112572,-0.029342125175028322,0.055887440126389264,0.06883122250437737,2040,2040,2040
glyph_only/resnet18,0,1.2125294606077663,1.135367845280992,0.07716161532677424,0.1802385475486517,0.20041543021798133,2040,2040,2040
Qwen/Qwen2.5-3B,36,0.7450349689238611,0.7296264798862538,0.015408489037607276,0.06205677213147283,0.07328424341976643,2040,2040,2040
hfl/chinese-bert-wwm-ext,12,0.44835307630634935,0.41111797602605654,0.03723510028029281,0.04348983010277152,0.05875483080744743,2040,2040,2040
