model,mean_delta,ci_lo,ci_hi,p_perm_two_sided,n_fields
Qwen/Qwen2.5-3B,0.3622040150562926,-0.930732526461283,1.4807922024925553,0.5832416758324167,8
Qwen/Qwen2.5-1.5B,0.19609213064114261,-0.9350992788871126,1.14484375834465,0.7430256974302569,8
hfl/chinese-bert-wwm-ext,0.1550710869456331,-1.7338888129696717,1.948777525682855,0.9019098090190981,8
hfl/chinese-macbert-base,-0.2102516898318817,-1.763891668021679,1.3350907213062353,0.8112188781121887,8
bert-base-multilingual-cased,-0.984558565119902,-2.6879610321298233,0.6668517751495048,0.3217678232176782,8
xlm-roberta-base,-0.986666670454045,-2.479865737607082,0.5687044155520075,0.26607339266073393,8
xlm-roberta-large,-1.1758333302754909,-2.7361832653960056,0.42378903078846664,0.2206779322067793,8
