model_id,model_class,d_corpus,p_corpus,ci_corpus_lo,ci_corpus_hi,d_semantic_ctrl,p_semantic_ctrl,d_form_specific
bert-base-multilingual-cased,standard,0.2017797236337538,0.0009990009990009,0.0298702138476073,0.0491265339776873,0.1820857466873081,0.0001999600079984,0.0196939769464457
xlm-roberta-base,standard,0.1904395621115165,0.0009990009990009,0.0205183219164609,0.0339681639336049,0.1287303993018333,0.0003999200159968,0.06170916280968319
hfl/chinese-bert-wwm-ext,standard,0.375423035423248,0.0009990009990009,0.0428920214064419,0.055416861642152,0.1378513346874203,0.0001999600079984,0.2375717007358277
glyph_only/resnet18,vision_only,1.140507223949053,0.0009990009990009,0.1829477529972791,0.1993672352284193,1.2211736323951807,0.0001999600079984,-0.08066640844612771
