model,family,mean_delta,mean_top1_rate,mean_mrr,n_fields
Qwen/Qwen2.5-1.5B,causal,0.1960921306411425,0.6333333333333333,0.7677083333333333,8
Qwen/Qwen2.5-3B,causal,0.3622040150562926,0.5395833333333333,0.7034374999999999,8
bert-base-multilingual-cased,mlm,-0.9845585651199021,0.48541666666666666,0.6065972222222222,8
hfl/chinese-bert-wwm-ext,mlm,0.1550710869456332,0.6458333333333334,0.7444444444444445,8
hfl/chinese-macbert-base,mlm,-0.2102516898318817,0.4895833333333333,0.6621527777777778,8
xlm-roberta-base,mlm,-0.986666670454045,0.45416666666666666,0.5897569444444445,8
xlm-roberta-large,mlm,-1.1758333302754906,0.4166666666666667,0.5925347222222223,8
