model,mean_cross_lift,ci_lo,ci_hi,share_above_chance,n_pairs
glyph_only/resnet18,33.0453982434104,32.224770491654,33.87681147047892,1.0,4556
hfl/chinese-bert-wwm-ext,8.448794143977757,8.163763158324894,8.73474345437462,0.985513608428446,4556
bert-base-multilingual-cased,6.268908497366597,6.091925898569084,6.449180905256092,0.9762949956101844,4556
cl-tohoku/bert-base-japanese-char-v3,5.6178392047041505,5.467024455197175,5.7756625754719755,0.9591747146619842,4556
xlm-roberta-base,4.294135702407088,4.2073333731489155,4.384492376969248,0.9644424934152765,4556
